item,item_id,2025,2024,2023,2022
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",v.funds_received_from_government_and_institutions_investments_on_behalf_of_investors_syndicated_loans_of_the_banks_risks,19079000.0,28008000.0,41534000.0,60188000.0
VI. Phát hành giấy tờ có giá,vi.valuable_papers_e_g_bonds_cds,133294422000.0,101650446000.0,52410014000.0,44304367000.0
VII. Các khoản nợ khác,vii.other_liabilities,24861054000.0,22014472000.0,23060473000.0,22772462000.0
"1. Các khoản lãi, phí phải trả",n_1.interest_and_fee_payables,8969078000.0,7045361000.0,7682185000.0,5564271000.0
2. Thuế TNDN hoãn lại phải trả ,n_2.deferred_income_tax_liabilities,,,,
3. Các khoản phải trả và công nợ khác,n_3.other_liabilities,15891976000.0,14969111000.0,15378288000.0,17208191000.0
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),n_4.provisions_for_contingent_liabilities_and_off_balance_sheet_commitments,,,,
TỔNG NỢ PHẢI TRẢ,total_liabilities,931330408000.0,780544025000.0,647838628000.0,549436522000.0
VIII. Vốn và các quỹ,viii.capital_and_reserves,94519719000.0,83461678000.0,70955961000.0,58438663000.0
1. Vốn của TCTD,n_1.capital,51638345000.0,44938358000.0,39112283000.0,34046130000.0
a. Vốn điều lệ,a.charter_capital,51366566000.0,44666579000.0,38840504000.0,33774351000.0
b. Vốn đầu tư XDCB,b.reserves_for_investments_in_construction,,,,
c. Thặng dư vốn cổ phần,c.share_premium,271779000.0,271779000.0,271779000.0,271779000.0
d. Cổ phiếu quỹ ,d.treasury_shares,,,,
e. Cổ phiếu ưu đãi,e.preferred_stock,,,,
g. Vốn khác,g.other_capital,,,,
2. Quỹ của TCTD,n_2.reserves,17583061000.0,14789568000.0,11557435000.0,9220125000.0
3. Chênh lệch tỷ giá hối đoái ,n_3.foreign_exchange_differences,,,,
4. Chênh lệch đánh giá lại tài sản,n_4.assets_revaluation_differences,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế ,n_5.undistributed_earnings_after_tax_accumulated_loss,25298313000.0,23733752000.0,20286243000.0,15172408000.0
6. Lợi ích cổ đông không kiểm soát,n_6.minoritys_interest,,,,
IX. Lợi ích của cổ đông thiểu số,ix.minority_interest,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,total_liabilities_and_owners_equity,1025850127000.0,864005703000.0,718794589000.0,607875185000.0
