item,item_en,item_id,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
Tiền gửi không kỳ hạn,Current Deposits,nob66,39868384000000.0,41126308000000.0,40951335000000.0,45021707000000.0,39868384000000.0,41126308000000.0,40951335000000.0,45021707000000.0,39868384000000.0,41126308000000.0,40951335000000.0,45021707000000.0,39868384000000.0,41126308000000.0,40951335000000.0,45021707000000.0
Tiền gửi ký quỹ,Margin deposits,nob69,1766928000000.0,1700245000000.0,1575326000000.0,1562034000000.0,1766928000000.0,1700245000000.0,1575326000000.0,1562034000000.0,1766928000000.0,1700245000000.0,1575326000000.0,1562034000000.0,1766928000000.0,1700245000000.0,1575326000000.0,1562034000000.0
Tiền gửi cho những mục đích riêng biệt,Deposits for special purposes,nob70,226459000000.0,240706000000.0,268712000000.0,580018000000.0,226459000000.0,240706000000.0,268712000000.0,580018000000.0,226459000000.0,240706000000.0,268712000000.0,580018000000.0,226459000000.0,240706000000.0,268712000000.0,580018000000.0
Tiền gửi của khách hàng,Deposits from customers,bsb113,258252752000000.0,267801485000000.0,267975270000000.0,269998503000000.0,258252752000000.0,267801485000000.0,267975270000000.0,269998503000000.0,258252752000000.0,267801485000000.0,267975270000000.0,269998503000000.0,258252752000000.0,267801485000000.0,267975270000000.0,269998503000000.0
