item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",Dividends paid,cfa32,-965859765766.0,-1026622785445.0,-886399583241.0,-574485123284.0,-85585440392.0,-604308347572.0,-619965858741.0,-601660154901.0
Tiền lãi đã nhận,"Interests, dividends, profits received",cfa33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Net cash inflows/(outflows) from financing activities,cfa34,-745467830344.0,-1375157169735.0,-1587573361183.0,-1480535907470.0,1667040810331.0,-674006718824.0,985081266248.0,-402565623834.0
Lưu chuyển tiền thuần trong kỳ,Net increase in cash and cash equivalents,cfa35,-2590090042790.0,2613092344593.0,1871530408967.0,-679636373395.0,1179135656031.0,-887888701192.0,-325466892138.0,-532586163236.0
Tiền và tương đương tiền đầu kỳ,Cash and cash equivalents at the beginning of period,cfa36,5635908856765.0,3022796235406.0,1151270686145.0,1830901134902.0,651668665185.0,1539577051904.0,1865096744967.0,2397186656336.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Effect of foreign exchange differences,cfa37,13774059.0,20276766.0,-4859706.0,5924638.0,96813686.0,-19685527.0,-52800925.0,496251867.0
Tiền và tương đương tiền cuối kỳ,Cash and cash equivalents at the end of period,cfa38,3045832588034.0,5635908856765.0,3022796235406.0,1151270686145.0,1830901134902.0,651668665185.0,1539577051904.0,1865096744967.0
Phân bổ lợi thế thương mại,Amortization of goodwill,cfa103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản điều chỉnh khác,Other adjustments,cfa104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(Tăng)/giảm chứng khoán kinh doanh,(Increase)/decrease in trading securities,cfa105,-352319958448.0,0.0,70244786666.0,-717139261908.0,360428367722.0,31413307735.0,7860124929.0,-30466257218.0
